odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round12.mid[1][270]	RAMB18_X5Y19/DOPBDOP0	SLICE_X89Y151/D2
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round14.mid[1][157]	RAMB18_X2Y4/DOADO7	SLICE_X42Y159/C4
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round14.mid[1][295]	RAMB18_X1Y4/DOBDO1	SLICE_X42Y154/C4
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round14.mid[1][43]	RAMB18_X1Y22/DOBDO5	SLICE_X42Y154/C2
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round14.mid[1][520]	RAMB18_X1Y17/DOBDO2	SLICE_X44Y147/C5
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round14.mid[1][558]	RAMB18_X1Y35/DOPBDOP0	SLICE_X45Y159/B2
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round15.mid[1][108]	RAMB18_X2Y42/DOBDO6	SLICE_X36Y171/D3
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round15.mid[1][10]	RAMB18_X1Y20/DOBDO4	SLICE_X40Y153/D3
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round15.mid[1][10]	RAMB18_X1Y20/DOBDO4	SLICE_X41Y153/C2
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round15.mid[1][136]	RAMB18_X1Y29/DOBDO2	SLICE_X23Y164/C6
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round15.mid[1][136]	RAMB18_X1Y29/DOBDO2	SLICE_X37Y155/B2
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round15.mid[1][138]	RAMB18_X1Y29/DOBDO4	SLICE_X39Y165/B5
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round15.mid[1][142]	RAMB18_X1Y29/DOPBDOP0	SLICE_X40Y152/C1
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round15.mid[1][206]	RAMB18_X1Y24/DOPBDOP0	SLICE_X40Y152/A4
odocrypt_gpio_wrapper_inst.g_miner[0].miner_top_inst.miner.worker.crypt.crypter.round15.mid[1][206]	RAMB18_X1Y24/DOPBDOP0	SLICE_X41Y152/B2
